,Datetime,State,Confirmed,Cured,Deaths
211,2020-03-19 18:00:00,Delhi,12,3,1
212,2020-03-19 18:00:00,Haryana,17,0,0
213,2020-03-19 18:00:00,Karnataka,14,0,1
214,2020-03-19 18:00:00,Kerala,27,3,0
215,2020-03-19 18:00:00,Maharashtra,47,0,1
216,2020-03-19 18:00:00,Odisha,1,0,0
217,2020-03-19 18:00:00,Puducherry,1,0,0
218,2020-03-19 18:00:00,Punjab,2,0,1
219,2020-03-19 18:00:00,Rajasthan,7,3,0
220,2020-03-19 18:00:00,Tamil Nadu,2,1,0
221,2020-03-19 18:00:00,Telangana,6,1,0
222,2020-03-19 18:00:00,Chandigarh,1,0,0
223,2020-03-19 18:00:00,Jammu and Kashmir,4,0,0
224,2020-03-19 18:00:00,Ladakh,8,0,0
225,2020-03-19 18:00:00,Uttar Pradesh,19,9,0
226,2020-03-19 18:00:00,Uttarakhand,1,0,0
227,2020-03-19 18:00:00,West Bengal,1,0,0
228,2020-03-20 18:00:00,Andhra Pradesh,3,0,0
229,2020-03-20 18:00:00,Chhattisgarh,1,0,0
230,2020-03-20 18:00:00,Delhi,17,5,1
231,2020-03-20 18:00:00,Gujarat,5,0,0
232,2020-03-20 18:00:00,Haryana,17,0,0
233,2020-03-20 18:00:00,Karnataka,15,1,1
234,2020-03-20 18:00:00,Kerala,28,3,0
235,2020-03-20 18:00:00,Maharashtra,52,0,1
236,2020-03-20 18:00:00,Odisha,2,0,0
237,2020-03-20 18:00:00,Puducherry,1,0,0
238,2020-03-20 18:00:00,Punjab,2,0,1
239,2020-03-20 18:00:00,Rajasthan,17,3,0
240,2020-03-20 18:00:00,Tamil Nadu,3,1,0
241,2020-03-20 18:00:00,Telangana,17,1,0
242,2020-03-20 18:00:00,Chandigarh,1,0,0
243,2020-03-20 18:00:00,Jammu and Kashmir,4,0,0
244,2020-03-20 18:00:00,Ladakh,10,0,0
245,2020-03-20 18:00:00,Uttar Pradesh,23,9,0
246,2020-03-20 18:00:00,Uttarakhand,3,0,0
247,2020-03-20 18:00:00,West Bengal,2,0,0
248,2020-03-21 18:00:00,Andhra Pradesh,3,0,0
249,2020-03-21 18:00:00,Chhattisgarh,1,0,0
250,2020-03-21 18:00:00,Delhi,26,5,1
251,2020-03-21 18:00:00,Gujarat,7,0,0
252,2020-03-21 18:00:00,Haryana,17,0,0
253,2020-03-21 18:00:00,Himachal Pradesh,2,0,0
254,2020-03-21 18:00:00,Karnataka,15,1,1
255,2020-03-21 18:00:00,Kerala,40,3,0
256,2020-03-21 18:00:00,Madhya Pradesh,4,0,0
257,2020-03-21 18:00:00,Maharashtra,63,0,1
258,2020-03-21 18:00:00,Odisha,2,0,0
259,2020-03-21 18:00:00,Puducherry,1,0,0
260,2020-03-21 18:00:00,Punjab,13,0,1
261,2020-03-21 18:00:00,Rajasthan,17,3,0
262,2020-03-21 18:00:00,Tamil Nadu,3,1,0
263,2020-03-21 18:00:00,Telangana,21,1,0
264,2020-03-21 18:00:00,Chandigarh,1,0,0
